Guerilla Player,COIN Player,Total Games,Guerilla Victories,Total COIN Victories,COIN Capture Victories,COIN Runout Victories,Draws,Mean Turns Per Game,Mean Turns per Guerilla Victory,Mean Turns per COIN Victory,Mean Turns per Draw,Mean COIN Checkers left per COIN Victory,Mean COIN Checkers left per Draw,Tournament Time (ms),Time Per Game (ms),Mean Guerilla Branching Factor,Mean COIN Branching Factor
By Utility,End-Take-Other,100,18,78,43,35,4,38.26,54.61,34.92,29.5,,,360975,3609.75,,
By Utility,No Sorting,100,13,83,43,40,4,38.54,56.38,36.0,33.0,,,256915,2569.15,,
By Utility,Random,100,15,79,37,42,6,40.64,55.4,38.87,26.83,,,250441,2504.41,,
By Utility,Utility Computer Player,100,2,81,28,53,17,43.35,51.0,44.57,36.59,,,330185,3301.85,,
End-Take-Other,By Utility,100,16,78,36,42,6,40.74,56.38,38.42,29.0,,,380004,3800.04,,
End-Take-Other,No Sorting,100,11,80,37,43,9,39.27,48.55,39.42,26.44,,,237292,2372.92,,
End-Take-Other,Random,100,16,80,39,41,4,39.73,56.5,37.23,22.5,,,248767,2487.67,,
End-Take-Other,Utility Computer Player,100,1,84,24,60,15,45.53,60.0,47.14,35.47,,,341805,3418.05,,
No Sorting,By Utility,100,13,75,39,36,12,36.89,54.62,35.67,25.25,,,149706,1497.06,,
No Sorting,End-Take-Other,100,13,75,39,36,12,36.89,54.62,35.67,25.25,,,144276,1442.76,,
No Sorting,Random,100,12,84,52,32,4,33.96,55.0,31.27,27.0,,,41499,414.99,,
No Sorting,Utility Computer Player,100,1,84,25,59,15,47.47,58.0,48.0,43.73,,,50910,509.1,,
Random,By Utility,100,10,79,39,40,11,37.23,49.7,38.14,19.27,,,157945,1579.45,,
Random,End-Take-Other,100,10,79,39,40,11,37.23,49.7,38.14,19.27,,,154460,1544.6,,
Random,No Sorting,100,10,79,39,40,11,37.23,49.7,38.14,19.27,,,47061,470.61,,
Random,Utility Computer Player,100,1,84,24,60,15,47.43,60.0,48.29,41.73,,,54234,542.34,,
Utility Computer Player,By Utility,100,5,52,10,42,43,45.1,59.6,53.52,33.21,,,205309,2053.09,,
Utility Computer Player,End-Take-Other,100,7,63,15,48,30,45.11,52.71,51.49,29.9,,,198798,1987.98,,
Utility Computer Player,No Sorting,100,6,54,15,39,40,42.59,53.0,49.93,31.1,,,34461,344.61,,
Utility Computer Player,Random,100,5,48,9,39,47,45.63,54.4,54.67,35.45,,,31110,311.1,,
